cntry,dgovjobs,dgovunemp,dgovincdiff,dgovretire,dgovhous,dhcare
"AU-Australia",.422447,.5670404,.5918072,.9458955,.7996174,.9842665
"CA-Canada",.3399015,.625213,.6721854,.9453125,.8422764,.9606299
"DK-Denmark",.5736505,.8055556,.544708,.9734982,.8228417,.9902998
"FI-Finland",.5629454,.8569754,.757647,.9725714,.8650235,.9954338
"FR-France",.5946292,.6713917,.7541192,.9273183,.8613607,.9250937
"DE-Germany",.6908517,.7202572,.7332268,.94375,.778754,.9644513
"IE-Ireland",.6459198,.8305322,.7997139,.9972789,.962963,.9959294
"JP-Japan",.5202186,.5676275,.6440307,.8810021,.3682432,.8681434
"NL-Netherlands",.551265,.6865672,.7077326,.9637306,.8238482,.9909678
"NZ-New Zealand",.3587711,.4945165,.4861386,.9538462,.7091988,.9780325
"NO-Norway",.7738739,.8838248,.7252946,.9850352,.8163636,.9912127
"PT-Portugal",.8370087,.9143969,.9414025,.9828572,.9482927,.9847037
"ES-Spain",.8446327,.9313796,.8695025,.9972087,.9647391,.9783217
"SE-Sweden",.5714286,.8366666,.6703911,.9663044,.7838746,.9361936
"CH-Switzerland",.4938942,.6749654,.6869096,.9016172,.6357341,.8810811
"GB-Great Britain",.5611413,.5803324,.7010724,.9751634,.8663102,.992126
"US-United States",.3855232,.515873,.5206677,.9005482,.76917,.8970935
