	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
VARIABLES	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare
																																										
govjobs	.						.						.						.						.						.						.					
ptemp	1.021	1.170***	1.071	0.995	1.184***	0.862	1.023	1.169***	1.072	0.996	1.192***	0.865	1.021	1.170***	1.070	0.995	1.184***	0.862	1.021	1.170***	1.071	0.999	1.188***	0.867	1.024	1.170***	1.072	1.000	1.196***	0.867	1.027	1.171***	1.074	0.999	1.193***	0.873	1.022	1.170***	1.072	1.001	1.188***	0.863
	(0.482)	(3.434)	(1.576)	(-0.060)	(3.401)	(-1.772)	(0.537)	(3.427)	(1.601)	(-0.052)	(3.533)	(-1.729)	(0.478)	(3.434)	(1.559)	(-0.057)	(3.402)	(-1.775)	(0.498)	(3.444)	(1.571)	(-0.017)	(3.473)	(-1.714)	(0.549)	(3.438)	(1.585)	(-0.005)	(3.594)	(-1.710)	(0.615)	(3.463)	(1.633)	(-0.017)	(3.551)	(-1.625)	(0.515)	(3.445)	(1.601)	(0.007)	(3.472)	(-1.759)
unemp	1.396***	2.001***	1.442***	1.450	1.840***	1.169	1.398***	2.001***	1.443***	1.449	1.847***	1.170	1.398***	2.000***	1.450***	1.461	1.835***	1.170	1.446***	2.016***	1.482***	1.493	1.922***	1.259	1.450***	2.016***	1.483***	1.492	1.935***	1.260	1.453***	2.019***	1.485***	1.493	1.945***	1.279	1.429***	2.014***	1.465***	1.520	1.915***	1.208
	(3.871)	(6.629)	(3.948)	(1.587)	(4.793)	(0.723)	(3.882)	(6.630)	(3.951)	(1.586)	(4.812)	(0.728)	(3.882)	(6.623)	(4.006)	(1.618)	(4.772)	(0.728)	(4.285)	(6.691)	(4.241)	(1.711)	(5.134)	(1.067)	(4.314)	(6.691)	(4.248)	(1.709)	(5.177)	(1.068)	(4.334)	(6.704)	(4.262)	(1.710)	(5.222)	(1.138)	(4.134)	(6.678)	(4.112)	(1.787)	(5.104)	(0.874)
nolabor	1.081	1.259***	0.994	0.957	1.127*	1.019	1.083	1.259***	0.995	0.958	1.137*	1.025	1.081	1.259***	0.997	0.960	1.126*	1.020	1.101*	1.264***	1.007	0.972	1.155**	1.068	1.104*	1.264***	1.008	0.973	1.166**	1.068	1.106*	1.266***	1.010	0.972	1.162**	1.082	1.095*	1.264***	1.003	0.983	1.153**	1.037
	(1.864)	(5.087)	(-0.143)	(-0.495)	(2.380)	(0.207)	(1.925)	(5.081)	(-0.119)	(-0.488)	(2.542)	(0.262)	(1.876)	(5.081)	(-0.067)	(-0.466)	(2.351)	(0.208)	(2.308)	(5.164)	(0.171)	(-0.326)	(2.846)	(0.706)	(2.383)	(5.156)	(0.191)	(-0.313)	(3.025)	(0.709)	(2.410)	(5.189)	(0.225)	(-0.326)	(2.957)	(0.854)	(2.169)	(5.150)	(0.078)	(-0.196)	(2.807)	(0.389)
selfemp	0.740***	0.676***	0.648***	0.653***	0.772***	0.713***	0.740***	0.676***	0.648***	0.653***	0.769***	0.710***	0.740***	0.676***	0.647***	0.654***	0.772***	0.713***	0.744***	0.677***	0.651***	0.651***	0.772***	0.717***	0.744***	0.677***	0.651***	0.651***	0.770***	0.717***	0.740***	0.676***	0.650***	0.651***	0.770***	0.713***	0.739***	0.676***	0.647***	0.654***	0.771***	0.712***
	(-7.264)	(-8.946)	(-10.540)	(-5.709)	(-5.563)	(-4.366)	(-7.285)	(-8.943)	(-10.548)	(-5.714)	(-5.651)	(-4.411)	(-7.269)	(-8.945)	(-10.557)	(-5.707)	(-5.561)	(-4.366)	(-7.148)	(-8.941)	(-10.423)	(-5.747)	(-5.550)	(-4.300)	(-7.165)	(-8.940)	(-10.426)	(-5.754)	(-5.609)	(-4.301)	(-7.265)	(-8.960)	(-10.471)	(-5.747)	(-5.600)	(-4.355)	(-7.320)	(-8.951)	(-10.563)	(-5.706)	(-5.574)	(-4.371)
inczscore	0.725***	0.795***	0.682***	0.792***	0.775***	0.800***	0.726***	0.795***	0.682***	0.792***	0.779***	0.802***	0.725***	0.795***	0.681***	0.792***	0.775***	0.800***	0.727***	0.795***	0.683***	0.793***	0.778***	0.803***	0.728***	0.795***	0.683***	0.794***	0.781***	0.804***	0.728***	0.795***	0.684***	0.793***	0.778***	0.804***	0.726***	0.795***	0.682***	0.794***	0.777***	0.802***
	(-21.007)	(-14.401)	(-24.839)	(-8.921)	(-14.864)	(-8.244)	(-20.900)	(-14.395)	(-24.766)	(-8.898)	(-14.573)	(-8.163)	(-21.004)	(-14.402)	(-24.836)	(-8.889)	(-14.871)	(-8.240)	(-20.853)	(-14.370)	(-24.729)	(-8.840)	(-14.694)	(-8.107)	(-20.741)	(-14.362)	(-24.668)	(-8.811)	(-14.414)	(-8.095)	(-20.812)	(-14.360)	(-24.702)	(-8.840)	(-14.663)	(-8.047)	(-20.908)	(-14.372)	(-24.783)	(-8.794)	(-14.710)	(-8.162)
