"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","","","Means by Sample","","","Pear. Correlations w/ Raw Results","","","","",""
"2","Variables","Measurement","Transparent","Opaque","Pooled","Verification","Exact Verif.","Deviance","","",""
"3","Raw Replication Results","","","","",NA,NA,NA,NA,NA,NA
"4","Verification","same direction =1","0.956730769230769","0.892742796157951","0.924719701014415","1","0.368506798064694","-0.303398339202107",NA,NA,NA
"5","Exact Verification","identical at two decimals =1","0.769230769230769","0.481323372465315","0.625200213561132","0.368506798064694","1","-0.351455865995926",NA,NA,NA
"6","Deviance","absolute difference with original","0.0134428418803419","0.0711980256136606","0.0423358515750134","-0.303398339202107","-0.351455865995926","1",NA,NA,NA
"7","Curated Replication Results","","","","",NA,NA,NA,NA,NA,NA
"8","Verification","same direction =1","0.981837606837607","0.9232","0.952495329597011",NA,NA,NA,"1","0.343116999926229","-0.594126146367684"
"9","Exact Verification","identical at two decimals =1","0.838675213675214","0.5664","0.70242860955431",NA,NA,NA,"0.343116999926229","1","-0.51623280717746"
"10","Deviance","absolute difference with original","0.00790598290598291","0.0249600533333333","0.0164398452095009",NA,NA,NA,"-0.594126146367684","-0.51623280717746","1"
"11","Independent Variables","","","","",NA,NA,NA,NA,NA,NA
"12","Stata","other software =0","0.666666666666667","0.621131270010672","0.643886812600107","0.12376790047938","0.198105161441526","-0.102311120162046","0.103837549767532","0.160972424171552","-0.144229225401533"
"13","Sociology Degree","other degrees =0","0.487179487179487","0.510138740661686","0.498665242925788","0.049","0.005","0.039","0.036","0.002","-0.08"
"14","Stats-Skill","4-question scale, stdzd,","-0.0471171504756793","0.0921157024384299","0.0225364443884533","-0.00329059557576967","-0.0392272997449865","-0.0480861604427693","0.0168068757679965","-0.0166326814231581","-0.00684092803989187"
"15","Difficulty","1-question, stdzd.","-0.0884615384615383","0.0070971184631805","-0.0406567004805124","-0.185968922377949","-0.239321783172534","-0.000435416962980169","-0.218509776636481","-0.230293303138601","0.289279450910045"
"16","Team Size","1-3 persons","2.1025641025641","2.25026680896478","2.17645488521089","-0.0349595818002763","-0.00527012637152524","0.0654573703959077","-0.00925197681418996","0.0220595407837822","-0.005154042648395"
"17","Qualitative Categories","","","","","0.018","-0.237","-0.008","0.083","-0.179","-0.027"
"18","Mistake","see text","0.230769230769231","0.3125","0.282352941176471","0.121261398612089","0.297381220063287","-0.195510136601681","0.137830877260125","0.29777023906932","-0.200825518271152"
"19","Procedural","see text","0.153846153846154","0.708333333333333","0.470588235294118",NA,NA,NA,NA,NA,NA
"20","Mistake-Procedural","see text","0.205128205128205","0.208333333333333","0.211764705882353",NA,NA,NA,NA,NA,NA
"21","Missing Component","see text","0.0256410256410256","0.0625","0.0470588235294118",NA,NA,NA,NA,NA,NA
"22","Interpretational","see text","0","0.0625","0.0352941176470588",NA,NA,NA,NA,NA,NA
"23","Questionable Methods Competencies","see text","0","0.0625","0.0352941176470588",NA,NA,NA,NA,NA,NA
