"","Group.1","x","Exp1","u_teamid","u_teamid2","u_expgroup1","backgr_degree1","backgr_degree2","backgr_degree3","numinteam","software","degree","difficult","stat_skill","dv_tag","deviance","or","sig","orig_or","orig_sig","orig_direction","rep_direction","verif","exact","deviance_abs","count","max","max1","insamp","stat_degree","stata","degree_soc"
"39",46,46,1,46,46,NA,3,4,4,3,NA,1,-0.55,1.05692585294144,24.5,-0.000458333333333343,1.01289583333333,0.395833333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.47916666666667,1,0.791666666666667,0.00716666666666666,1.43654166666667,1.92,1.92,1,0,1,1
"40",47,47,1,47,47,NA,1,6,6,1,NA,3,1.45,-4.40892488400568,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.536479166666667,1.92,1.92,1,0,1,0
"41",48,48,1,48,48,NA,5,6,5,2,NA,3,0.45,0.0714815052820135,24.5,0.0566666666666667,1.07002083333333,0.5625,1.01335416666667,0.458333333333333,1.52083333333333,1.47916666666667,0.895833333333333,0.1875,0.0764583333333333,1.7268125,1.92,1.92,1,0,0,0
"42",49,49,1,49,49,NA,3,3,3,3,NA,1,-0.55,-2.38900844543087,24.5,0.00195833333333334,1.0153125,0.5,1.01335416666667,0.458333333333333,1.52083333333333,1.5,1,1,0.002125,1.11479166666667,1.92,1.92,1,0,1,1
"43",50,50,2,50,50,NA,6,6,6,1,NA,3,0.45,0.771677580539892,20.5,0.00332500000000001,1.01175,0.425,1.008425,0.625,1.5,1.625,1,0.45,0.011925,1.072325,1.92,1.92,1,0,0,0
"44",52,52,1,52,52,NA,3,6,3,2,NA,1,-0.55,-1.46432535381408,24.5,0.0000625000000000001,1.01341666666667,0.4375,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0.000229166666666667,0.683645833333333,1.92,1.92,1,0,1,1
"45",53,53,1,53,53,NA,4,6,6,1,NA,2,0.450000000000001,-0.00767733846768937,24.5,-0.0045,1.00885416666667,0.479166666666667,1.01335416666667,0.458333333333333,1.52083333333333,1.58333333333333,0.979166666666667,0.875,0.00504166666666666,0.707125,1.92,1.92,1,0,1,0
"46",54,54,2,54,54,NA,4,3,3,3,NA,2,-0.55,0.0418676353636174,20.5,0.00292499999999999,1.01135,0.3,1.008425,0.625,1.5,1.5,1,0.425,0.012075,1.032975,1.92,1.92,1,0,1,0
"47",56,56,1,56,56,NA,5,6,6,1,NA,3,-0.55,3.18840485187195,24.5,0,1.01335416666667,0.4375,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.539354166666667,1.92,1.92,1,0,0,0
"48",57,57,1,57,57,NA,5,3,7,3,NA,3,-0.55,0.624099137494975,24.5,-0.0161875,0.997166666666667,0.75,1.01335416666667,0.458333333333333,1.52083333333333,1.60416666666667,0.8125,0.458333333333333,0.0416458333333333,1.5531875,1.92,1.92,1,1,1,0
"49",58,58,2,58,58,NA,3,4,3,3,NA,1,-0.55,-0.519283743142464,20.5,0.00217499999999999,1.0106,0.65,1.008425,0.625,1.5,1.525,1,1,0.002325,0.414525,1.92,1.92,1,0,1,1
"50",59,59,2,59,59,NA,2,6,6,1,NA,3,1.45,-0.152785958276275,20.5,0.01225,1.020675,0.5,1.008425,0.625,1.5,1.575,1,0.275,0.0174,1.2408,1.92,1.92,1,0,0,0
"51",60,60,2,60,60,NA,5,6,6,1,NA,3,2.45,-0.481165311100298,12.5,-0.148,0.87625,0,1.02425,0.625,1.375,2,0.625,0.125,0.16375,1.73,1.92,1.92,1,0,1,0
"52",61,61,2,61,61,NA,3,3,3,3,NA,1,-0.55,3.21599081069126,20.5,0.00132500000000001,1.00975,0.65,1.008425,0.625,1.5,1.625,1,1,0.003175,0.5172,1.92,1.92,1,0,1,1
"53",62,62,1,62,62,NA,3,4,3,3,NA,1,0.45,-0.915378584401264,24.5,0.000708333333333334,1.0140625,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.5,1,0.979166666666667,0.000875000000000001,0.712645833333333,1.92,1.92,1,0,0,1
"54",64,64,2,64,64,NA,4,1,4,3,NA,2,-0.55,-2.55131846372329,20.5,0.00275249999999999,1.011225,0.425,1.008425,0.625,1.5,1.525,1,0.525,0.0105025,1.001475,1.92,1.92,1,0,1,0
"55",65,65,2,65,65,NA,3,3,6,3,NA,1,-0.55,2.48179768974125,20.5,0.00207499999999999,1.0105,0.6,1.008425,0.625,1.5,1.475,1,0.8,0.00547500000000002,0.66505,1.92,1.92,1,0,1,1
"56",67,67,1,67,67,NA,3,6,6,1,NA,1,0.45,3.42971343038313,24.5,0.000687500000000008,1.01404166666667,0.479166666666667,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,0.6875,0.00785416666666667,1.44297916666667,1.92,1.92,1,0,1,1
"57",68,68,2,68,68,NA,3,3,3,3,NA,1,-0.55,-1.38516302171819,20.5,0.0038,1.012225,0.5,1.008425,0.625,1.5,1.55,1,0.8,0.00629999999999999,0.706225,1.92,1.92,1,0,1,1
"58",69,69,2,69,69,NA,3,3,3,3,NA,1,-0.55,-0.135746969675155,20.5,0.0038,1.012225,0.2,1.008425,0.625,1.5,1.55,1,0.8,0.00629999999999999,0.707225,1.92,1.92,1,0,1,1
"59",70,70,2,70,340.428571428571,NA,7,6,3,2,NA,3,1.45,-1.94375886179811,19.9571428571429,-0.0259142857142857,0.984885714285714,0.542857142857143,1.0108,0.6,1.48571428571429,1.67142857142857,0.485714285714286,0.0428571428571429,0.118685714285714,1.68791428571429,1.92,1.92,1,1,0,0
"60",72,72,1,72,72,NA,3,3,3,3,NA,1,-1.55,1.19675469275875,24.5,-0.0120833333333333,1.00127083333333,0.645833333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,0.895833333333333,0.416666666666667,0.026875,1.62697916666667,1.92,1.92,1,0,1,1
"61",73,73,1,73,73,NA,3,6,6,1,NA,1,-0.55,0.274066649546834,24.5,0.000479166666666658,1.01383333333333,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.54166666666667,1,1,0.00197916666666667,1.21179166666667,1.92,1.92,1,0,1,1
"62",74,74,2,74,74,NA,7,6,6,1,NA,3,0.45,-0.263979690949567,20.5,0.0044,1.012825,0,1.008425,0.625,1.5,1.5,0.975,0.375,0.0216,1.1337,1.92,1.92,1,1,0,0
"63",75,75,1,75,75,NA,2,4,4,3,NA,3,-0.55,0.803059206638767,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.541354166666667,1.92,1.92,1,0,1,0
"64",76,76,1,76,76,NA,7,4,3,3,NA,2,0.450000000000001,-0.814399345304137,24.5,-0.000604166666666667,1.01275,0.270833333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.5,1,1,0.000604166666666667,0.815604166666667,1.92,1.92,1,1,1,0
"65",77,77,1,77,77,NA,5,6,4,2,NA,3,0.45,0.717461317267682,24.5,0.00131249999999999,1.01466666666667,0.520833333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.35416666666667,1,0.708333333333333,0.0073125,1.40414583333333,1.92,1.92,1,0,0,0
"66",79,79,1,79,79,NA,7,7,7,3,NA,3,0.45,-0.415317450233661,24.5,-0.00633333333333335,1.00702083333333,0.5,1.01335416666667,0.458333333333333,1.52083333333333,1.41666666666667,0.854166666666667,0.1875,0.0354583333333333,1.70925,1.92,1.92,1,1,0,0
"67",80,80,2,80,80,NA,4,6,4,2,NA,2,0.45,0.0839580280400296,20.5,0.00567500000000001,1.014925,0.575,1.008425,0.625,1.5,1.425,0.575,0.2,0.050775,1.43235,1.92,1.92,1,0,0,0
"68",82,82,2,82,82,NA,4,6,4,2,NA,2,0.45,-0.770606364762336,20.5,0.00132500000000002,1.00975,0.6,1.008425,0.625,1.5,1.6,0.975,0.425,0.021525,1.146925,1.92,1.92,1,0,0,0
"69",83,83,2,83,83,NA,4,6,6,1,NA,2,1.45,-2.43232427978666,20.5,0.00312499999999999,1.01155,0.6,1.008425,0.625,1.5,1.5,1,0.95,0.00397499999999998,0.575975,1.92,1.92,1,0,1,0
"70",84,84,1,84,84,NA,4,6,4,2,NA,2,-0.55,-0.420512196845285,24.5,-0.00535416666666667,1.008,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.54166666666667,0.979166666666667,0.9375,0.00535416666666667,0.603979166666667,1.92,1.92,1,0,0,0
"71",86,86,1,86,86,NA,3,3,3,3,NA,1,0.45,-0.784399344171992,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.543895833333333,1.92,1.92,1,0,1,1
"72",87,87,1,87,87,NA,4,6,6,1,NA,2,0.45,0.756515783614473,24.5,0.00256250000000001,1.01591666666667,0.4375,1.01335416666667,0.458333333333333,1.52083333333333,1.54166666666667,1,0.583333333333333,0.0111041666666667,1.49733333333333,1.92,1.92,1,0,0,0
"73",88,88,1,88,88,NA,3,6,4,2,NA,1,-0.55,1.39939561794706,24.5,-0.000458333333333331,1.01289583333333,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.54166666666667,1,1,0.000458333333333331,0.836333333333333,1.92,1.92,1,0,1,1
"74",90,90,2,90,90,NA,3,6,6,1,NA,1,0.45,-0.989457118209146,20.5,0.008225,1.01665,0.325,1.008425,0.625,1.5,1.45,0.85,0.15,0.038875,1.4487,1.92,1.92,1,0,1,1
"75",93,93,2,93,93,NA,6,5,4,2,NA,3,0.45,-1.83054780495615,20.5,0.00772500000000001,1.01615,0.55,1.008425,0.625,1.5,1.525,0.975,0.45,0.015625,1.09005,1.92,1.92,1,0,0,0
"76",94,94,1,94,94,NA,4,6,6,2,NA,2,0.45,-2.54351801245996,24.5,-0.000187500000000002,1.01316666666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.5625,1,0.958333333333333,0.00193749999999999,1.11902083333333,1.92,1.92,1,0,0,0
"77",95,95,2,95,95,NA,3,2,3,3,NA,1,-0.55,0.740638185369282,20.5,0.00577499999999999,1.0142,0.15,1.008425,0.625,1.5,1.525,1,0.625,0.00842500000000001,0.9032,1.92,1.92,1,0,1,1
"78",96,96,1,96,96,NA,4,6,6,1,NA,2,-0.55,-0.180668232875901,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.545729166666667,1.92,1.92,1,0,1,0
"79",97,97,2,97,97,NA,4,6,4,2,NA,2,-0.55,-0.300877708368904,20.5,0.00257499999999999,1.011,0.65,1.008425,0.625,1.5,1.525,1,0.95,0.00272499999999999,0.39195,1.92,1.92,1,0,0,0
"80",98,98,2,98,98,NA,4,6,4,2,NA,2,-0.55,-2.08662668110977,20.5,0.00169999999999999,1.010125,0.625,1.008425,0.625,1.5,1.525,1,1,0.0019,0.3537,1.92,1.92,1,0,0,0
"81",101,101,2,101,551,NA,3,6,3,2,NA,1,0.45,-0.496603558741468,20.5,-0.010175,0.99825,0.225,1.008425,0.625,1.5,1.6375,0.6125,0.0375,0.09875,1.675575,1.92,1.92,1,0,1,1
"82",102,102,1,102,102,NA,2,6,2,2,NA,3,-0.55,0.0575403679822002,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.546729166666667,1.92,1.92,1,0,1,0
"83",104,104,2,104,104,NA,4,6,4,2,NA,2,-0.55,2.21454474211741,20.5,0.0019,1.010325,0.45,1.008425,0.625,1.5,1.525,1,0.725,0.00664999999999998,0.8086,1.92,1.92,1,0,0,0
"84",105,105,2,105,105,NA,6,6,6,2,NA,3,2.45,-2.02344925640253,20.5,0.001825,1.01025,0.525,1.008425,0.625,1.5,1.55,1,0.85,0.00537499999999999,0.6277,1.92,1.92,1,0,0,0
"85",106,106,2,106,106,NA,6,6,6,2,NA,3,-0.55,0.896728779127752,20.5,0.00227499999999999,1.0107,0.45,1.008425,0.625,1.5,1.525,1,0.775,0.00602499999999999,0.695875,1.92,1.92,1,0,0,0
